2	3	4	5	10	20	50	100	200	500	1000	2000	5000
0.069609	null	null	null	null	null	null	null	null	null	null	null	null
0.078533	null	null	null	null	null	null	null	null	null	null	null	null
0.071394	null	null	null	null	null	null	null	null	null	null	null	null
0.056668	null	null	null	null	null	null	null	null	null	null	null	null
0.081656	null	null	null	null	null	null	null	null	null	null	null	null
0.067378	null	null	null	null	null	null	null	null	null	null	null	null
0.074517	null	null	null	null	null	null	null	null	null	null	null	null
0.10129	null	null	null	null	null	null	null	null	null	null	null	null
0.070948	null	null	null	null	null	null	null	null	null	null	null	null
0.058008	null	null	null	null	null	null	null	null	null	null	null	null
0.071394	null	null	null	null	null	null	null	null	null	null	null	null
0.056223	null	null	null	null	null	null	null	null	null	null	null	null
0.074071	null	null	null	null	null	null	null	null	null	null	null	null
0.08478	null	null	null	null	null	null	null	null	null	null	null	null
0.07184	null	null	null	null	null	null	null	null	null	null	null	null
0.076302	null	null	null	null	null	null	null	null	null	null	null	null
0.086119	null	null	null	null	null	null	null	null	null	null	null	null
0.106644	null	null	null	null	null	null	null	null	null	null	null	null
0.082103	null	null	null	null	null	null	null	null	null	null	null	null
0.079872	null	null	null	null	null	null	null	null	null	null	null	null
0.067378	null	null	null	null	null	null	null	null	null	null	null	null
0.080764	null	null	null	null	null	null	null	null	null	null	null	null
0.05176	null	null	null	null	null	null	null	null	null	null	null	null
0.091919	null	null	null	null	null	null	null	null	null	null	null	null
0.082549	null	null	null	null	null	null	null	null	null	null	null	null